"userid","module","rank","Cluster","order","nextOrder"
2883,"m7",2,5,2,3
3848,"m7",2,19,6,4
3229,"m7",2,20,6,2
4434,"m7",2,12,6,9
2504,"m7",2,9,6,3
4358,"m7",2,7,1,9
2789,"m7",2,12,6,9
2767,"m7",2,12,6,9
3088,"m7",2,14,6,8
2391,"m7",2,16,8,6
2857,"m7",2,20,6,2
3219,"m7",2,12,6,9
2512,"m7",2,21,5,5
4300,"m7",2,8,6,6
2400,"m7",2,12,6,9
2425,"m7",2,6,9,9
4460,"m7",2,8,6,6
2803,"m7",2,14,6,8
3029,"m7",2,9,6,3
3476,"m7",2,12,6,9
2787,"m7",2,3,8,9
3303,"m7",2,3,8,9
2443,"m7",2,12,6,9
2383,"m7",2,1,8,3
2514,"m7",2,8,6,6
4407,"m7",2,22,2,9
4035,"m7",2,8,6,6
2414,"m7",2,8,6,6
3757,"m7",2,3,8,9
4052,"m7",2,17,8,8
2918,"m7",2,6,9,9
2390,"m7",2,23,6,5
2420,"m7",2,9,6,3
2416,"m7",2,11,6,7
4410,"m7",1,1,6,3
5195,"m7",1,2,8,9
4165,"m7",1,3,4,3
4193,"m7",1,4,6,1
3217,"m7",1,5,2,2
3799,"m7",1,6,1,8
3890,"m7",1,7,6,6
2956,"m7",1,8,1,3
2773,"m7",1,9,5,8
5210,"m7",1,10,6,4
2477,"m7",1,11,6,9
2718,"m7",1,10,6,4
4413,"m7",1,1,6,3
4049,"m7",1,10,6,4
2724,"m7",1,12,6,8
2515,"m7",1,1,6,3
5299,"m7",1,13,1,4
3068,"m7",1,14,5,5
2719,"m7",1,11,6,9
3931,"m7",1,10,6,4
2586,"m7",1,15,8,3
3724,"m7",1,1,6,3
3692,"m7",1,16,6,2
2367,"m7",1,2,8,9
4131,"m7",1,7,6,6
3366,"m7",1,11,6,9
4731,"m7",1,17,4,9
3967,"m7",1,11,6,9
3007,"m7",1,17,4,9
3715,"m7",1,18,4,4
2529,"m7",1,7,6,6
4489,"m7",1,1,6,3
3294,"m7",1,14,5,5
3903,"m7",1,1,6,3
2643,"m7",1,1,6,3
3428,"m7",1,19,6,5
2896,"m7",1,20,5,9
2446,"m7",1,1,6,3
4452,"m7",1,19,6,5
2886,"m7",1,8,1,3
4289,"m7",1,10,6,4
3310,"m7",1,16,6,2
4150,"m7",1,21,6,7
2646,"m7",1,21,6,7
4279,"m7",1,10,6,4
3070,"m7",1,11,6,9
3514,"m7",1,11,6,9
4606,"m7",1,10,6,4
2636,"m7",1,6,1,8
3894,"m7",1,13,1,4
4833,"m7",1,22,1,9
2748,"m7",1,1,6,3
2637,"m7",1,23,9,5
3198,"m7",1,24,9,6
4723,"m7",1,11,6,9
4400,"m7",1,25,9,9
4917,"m7",1,26,2,3
4742,"m7",1,27,5,3
2989,"m7",1,7,6,6
2660,"m7",1,28,2,4
3189,"m7",1,19,6,5
2315,"m7",1,19,6,5
4758,"m7",1,29,8,5
3971,"m7",1,1,6,3
5377,"m7",1,30,5,4
3395,"m7",1,25,9,9
2960,"m7",1,13,1,4
2377,"m7",1,31,2,7
3881,"m7",1,32,2,6
3285,"m6",3,1,7,2
2821,"m6",3,2,8,6
3185,"m6",3,3,9,6
2442,"m6",3,2,8,6
2674,"m6",3,2,8,6
3032,"m6",3,4,9,1
2388,"m6",3,5,6,6
2358,"m6",3,3,9,6
4146,"m6",3,6,8,9
74,"m6",3,3,9,6
3204,"m6",3,2,8,6
3461,"m6",3,7,9,9
4411,"m6",3,7,9,9
2409,"m6",3,8,3,6
2687,"m6",3,9,8,8
2557,"m6",3,3,9,6
2327,"m6",3,10,8,2
3000,"m6",3,9,8,8
2424,"m6",3,5,6,6
2523,"m6",3,11,9,8
2553,"m6",3,2,8,6
3385,"m6",3,2,8,6
2901,"m6",3,7,9,9
3272,"m6",3,2,8,6
2319,"m6",3,2,8,6
2458,"m6",3,3,9,6
2341,"m6",3,10,8,2
2707,"m6",3,3,9,6
2769,"m6",3,4,9,1
2535,"m6",3,2,8,6
2435,"m6",3,2,8,6
2664,"m6",3,2,8,6
2532,"m6",3,7,9,9
2350,"m6",3,7,9,9
3030,"m6",3,12,3,8
3407,"m6",3,11,9,8
2351,"m6",3,6,8,9
3298,"m6",3,2,8,6
2485,"m6",3,11,9,8
2422,"m6",3,2,8,6
4085,"m6",3,13,9,4
2352,"m6",3,2,8,6
2613,"m6",3,11,9,8
2708,"m6",3,11,9,8
2495,"m6",3,2,8,6
4166,"m6",3,11,9,8
2386,"m6",3,3,9,6
2461,"m6",3,14,7,6
3800,"m6",3,7,9,9
2941,"m6",3,3,9,6
2952,"m6",3,15,3,9
2948,"m6",3,2,8,6
2318,"m6",3,16,7,5
4309,"m6",3,7,9,9
3133,"m6",3,7,9,9
3866,"m6",3,14,7,6
2502,"m6",3,2,8,6
2392,"m6",3,9,8,8
2815,"m6",3,6,8,9
2800,"m6",3,11,9,8
3708,"m6",3,9,8,8
3058,"m6",3,17,9,5
2570,"m6",3,2,8,6
2788,"m6",3,2,8,6
2398,"m6",3,3,9,6
2741,"m6",3,11,9,8
2703,"m6",3,6,8,9
3901,"m6",3,7,9,9
2328,"m6",3,7,9,9
2604,"m6",2,1,9,8
3256,"m6",2,2,9,5
2389,"m6",2,3,8,8
3912,"m6",2,4,3,9
4062,"m6",2,5,3,2
3326,"m6",2,6,9,9
3421,"m6",2,7,4,1
2600,"m6",2,8,8,6
3166,"m6",2,8,8,6
4047,"m6",2,8,8,6
2534,"m6",2,9,9,6
3072,"m6",2,10,6,6
3952,"m6",2,3,8,8
2508,"m6",2,8,8,6
3126,"m6",2,9,9,6
2496,"m6",2,8,8,6
4043,"m6",2,9,9,6
3448,"m6",2,6,9,9
2513,"m6",2,8,8,6
3048,"m6",2,11,8,9
2912,"m6",2,8,8,6
3289,"m6",2,12,9,4
2448,"m6",2,13,7,6
3187,"m6",2,3,8,8
2519,"m6",2,3,8,8
2994,"m6",2,8,8,6
4229,"m6",2,14,9,1
2492,"m6",2,15,3,6
2969,"m6",2,8,8,6
2498,"m6",2,8,8,6
2694,"m6",2,16,5,8
3426,"m6",2,9,9,6
3817,"m6",2,14,9,1
3026,"m6",2,8,8,6
3254,"m6",2,9,9,6
2883,"m6",2,17,9,2
3848,"m6",2,8,8,6
3229,"m6",2,9,9,6
4434,"m6",2,10,6,6
2504,"m6",2,9,9,6
4358,"m6",2,18,5,1
2789,"m6",2,8,8,6
2767,"m6",2,9,9,6
3088,"m6",2,8,8,6
2391,"m6",2,1,9,8
2857,"m6",2,13,7,6
3219,"m6",2,9,9,6
2512,"m6",2,2,9,5
4300,"m6",2,9,9,6
2400,"m6",2,8,8,6
2425,"m6",2,19,4,9
4460,"m6",2,8,8,6
2803,"m6",2,8,8,6
3029,"m6",2,9,9,6
3476,"m6",2,9,9,6
2787,"m6",2,3,8,8
3303,"m6",2,1,9,8
2443,"m6",2,9,9,6
2383,"m6",2,1,9,8
2514,"m6",2,10,6,6
4407,"m6",2,20,7,2
4035,"m6",2,9,9,6
2414,"m6",2,9,9,6
3757,"m6",2,3,8,8
4052,"m6",2,3,8,8
2918,"m6",2,19,4,9
2390,"m6",2,9,9,6
2420,"m6",2,8,8,6
2416,"m6",2,8,8,6
4410,"m6",1,1,4,6
5195,"m6",1,2,7,8
4165,"m6",1,3,4,4
4193,"m6",1,4,9,6
3217,"m6",1,5,9,2
3799,"m6",1,6,9,1
3890,"m6",1,7,8,6
2956,"m6",1,6,9,1
2773,"m6",1,8,7,5
5210,"m6",1,4,9,6
2477,"m6",1,4,9,6
2718,"m6",1,9,3,6
4413,"m6",1,7,8,6
4049,"m6",1,4,9,6
2724,"m6",1,10,7,6
2515,"m6",1,4,9,6
5299,"m6",1,11,1,1
3068,"m6",1,12,8,5
2719,"m6",1,7,8,6
3931,"m6",1,10,7,6
2586,"m6",1,13,9,8
3724,"m6",1,14,6,6
3692,"m6",1,4,9,6
2367,"m6",1,13,9,8
4131,"m6",1,7,8,6
3366,"m6",1,4,9,6
4731,"m6",1,15,8,4
3967,"m6",1,7,8,6
3007,"m6",1,16,6,4
3715,"m6",1,17,9,4
2529,"m6",1,7,8,6
4489,"m6",1,14,6,6
3294,"m6",1,18,9,5
3903,"m6",1,10,7,6
2643,"m6",1,7,8,6
3428,"m6",1,4,9,6
2896,"m6",1,8,7,5
2446,"m6",1,14,6,6
4452,"m6",1,4,9,6
2886,"m6",1,19,4,1
4289,"m6",1,9,3,6
3310,"m6",1,7,8,6
